Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,"611,289",6.7%,"2,100,000","Bentonville, Arkansas"
2,Amazon,Retail and Cloud Computing,"513,983",9.4%,"1,540,000","Seattle, Washington"
3,Exxon Mobil,Petroleum industry,"413,680",44.8%,"62,000","Spring, Texas"
4,Apple,Electronics industry,"394,328",7.8%,"164,000","Cupertino, California"
5,UnitedHealth Group,Healthcare,"324,162",12.7%,"400,000","Minnetonka, Minnesota"
6,CVS Health,Healthcare,"322,467",10.4%,"259,500","Woonsocket, Rhode Island"
7,Berkshire Hathaway,Conglomerate,"302,089",9.4%,"383,000","Omaha, Nebraska"
8,Alphabet,Technology,"282,836",9.8%,"156,000","Mountain View, California"
9,McKesson Corporation,Health,"276,711",4.8%,"48,500","Irving, Texas"
10,Chevron Corporation,Petroleum industry,"246,252",51.6%,"43,846","San Ramon, California"
11,AmerisourceBergen,Pharmaceutical industry,"238,587",11.5%,"41,500","Chesterbrook, Pennsylvania"
12,Costco,Retail,"226,954",15.8%,"304,000","Issaquah, Washington"
13,Microsoft,Technology,"198,270",18.0%,"221,000","Redmond, Washington"
14,Cardinal Health,Healthcare,"181,364",11.6%,"46,035","Dublin, Ohio"
15,Cigna,Health Insurance,"180,516",3.7%,"70,231","Bloomfield, Connecticut"
16,Marathon Petroleum,Petroleum industry,"180,012",27.6%,"17,800","Findlay, Ohio"
17,Phillips 66,Petroleum industry,"175,702",53.0%,"13,000","Houston, Texas"
18,Valero Energy,Petroleum industry,"171,189",58.0%,"9,743","San Antonio, Texas"
19,Ford Motor Company,Automotive industry,"158,057",15.9%,"173,000","Dearborn, Michigan"
20,The Home Depot,Retail,"157,403",4.1%,"471,600","Atlanta, Georgia"
21,General Motors,Automotive,"156,735",23.4%,"167,000","Detroit, Michigan"
22,Elevance Health,Healthcare,"156,595",13.0%,"102,200","Indianapolis, Indiana"
23,JPMorgan Chase,Financial services,"154,792",21.7%,"293,723","New York City, New York"
24,Kroger,Retail,"148,258",7.5%,"430,000","Cincinnati, Ohio"
25,Centene,Healthcare,"144,547",14.7%,"74,300","St. Louis, Missouri"
26,Verizon Communications,Telecommunications,"136,835",2.4%,"117,100","New York City, New York"
27,Walgreens Boots Alliance,Pharmaceutical industry,"132,703",10.7%,"262,500","Deerfield, Illinois"
28,Fannie Mae,Financials,"121,596",19.7%,"8,000","Washington, D.C."
